Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
553,13.1930,99.6842,164.4386,122.6842
554,12.2047,98.2164,165.3626,124.2164
555,11.2865,98.4444,166.0585,124.2105
556,12.3275,98.1871,163.5380,125.9474
557,13.0351,99.3743,163.8889,123.7018
558,13.5263,99.4269,163.1053,123.9415
559,13.4386,98.2105,165.7368,122.6140
560,14.0819,96.7953,166.4795,122.6433
561,11.5439,100.1930,164.4971,123.7661
562,12.5380,100.1696,164.2865,123.0058
563,12.6140,97.1637,165.6842,124.5380
564,12.7602,98.4854,164.5848,124.1696
565,12.8889,96.6199,164.1579,126.3333
566,12.0058,97.0058,165.5556,125.4327
567,12.9649,98.8772,164.4795,123.6784
568,11.9942,98.1637,164.7778,125.0643
569,12.0058,98.6608,165.4035,123.9298
570,12.1696,97.0000,165.7836,125.0468
571,12.0819,97.1871,165.3860,125.3450
572,12.1404,98.7895,165.3041,123.7661
573,12.0643,98.2807,165.8421,123.8129
574,13.2807,96.6433,165.6082,124.4678
575,12.5088,97.9532,164.4854,125.0526
576,12.4620,96.8830,164.7076,125.9474
577,12.0643,99.5614,164.2339,124.1404
578,12.8246,102.3801,164.6023,120.1930
579,12.7427,100.3509,164.6667,122.2398
580,11.2047,99.7778,164.1871,124.8304
581,12.6667,96.1520,166.3216,124.8596
582,12.1871,99.4678,164.7602,123.5848
583,11.9181,97.9181,165.0175,125.1462
584,12.0877,99.5731,166.0468,122.2924
585,11.6725,95.1930,164.2047,128.9298
586,12.5146,97.5848,165.7076,124.1930
587,12.3333,96.8012,166.0585,124.8070
588,11.2047,97.9532,167.8713,122.9708
589,12.4386,98.9240,166.1111,122.5263
590,12.6667,97.4561,169.1696,120.7076
591,14.0117,97.1228,164.0058,124.8596
592,12.1345,97.1579,166.7076,124.0000
593,13.3275,95.3626,165.9064,125.4035
594,11.8713,99.0117,164.9825,124.1345
595,11.7427,98.9474,166.1930,123.1170
596,12.2865,98.0819,163.3860,126.2456
597,12.2515,96.5322,163.9942,127.2222
598,11.9591,96.7251,165.9649,125.3509
599,13.1111,98.3860,163.4211,125.0819
600,13.1287,96.0351,163.9415,126.8947
601,14.2222,96.1287,166.6901,122.9591
602,11.3158,97.0175,164.3860,127.2807
603,11.7895,98.7018,166.3450,123.1637
604,11.8655,98.1404,165.5088,124.4854
605,13.7018,98.0409,163.6901,124.5673
606,11.5673,98.7135,165.4737,124.2456
607,11.2339,95.9532,167.1813,125.6316
608,11.9181,98.0760,165.4678,124.5380
609,11.3392,97.5965,166.1345,124.9298
610,12.2807,96.6784,166.8947,124.1462
611,11.8538,98.0409,168.1754,121.9298
612,11.6433,99.2164,164.7485,124.3918
613,12.6667,97.0994,165.8480,124.3860
614,11.9649,101.0117,163.6901,123.3333
615,12.1170,98.3333,165.9532,123.5965
616,11.5088,99.9357,165.2865,123.2690
617,12.4503,99.9825,164.9123,122.6550
618,12.4912,98.1520,164.9883,124.3684
619,11.8480,98.7661,166.5556,122.8304
620,12.2690,95.9064,165.7135,126.1111
621,12.6199,96.4503,165.8772,125.0526
622,11.2749,98.8538,168.0643,121.8070
