strategy,n_urgent,rule,rep,objective,el_app_wt,ur_scan_wt,el_scan_wt,ot
1,10,2,70,0.4820240028,16.81797669,3.437252989,0.2334997006,0.9965301555
1,10,2,71,0.484058886,16.5693907,3.468884044,0.2343579532,0.94104931
1,10,2,72,0.4548512025,14.11225307,3.337647265,0.2311847554,0.8296023226
1,10,2,73,0.473005195,15.97395387,3.401299226,0.2343432388,0.9446626191
1,10,2,74,0.453386299,14.89070342,3.282760437,0.2314093936,0.9150156004
1,10,2,75,0.4743612135,16.83228902,3.367521153,0.2344723769,0.9931301289
1,10,2,76,0.4493255282,15.22504364,3.228302416,0.2335536869,0.9737230954
1,10,2,77,0.4528159212,13.77170574,3.337573341,0.2319959251,0.9653703767
1,10,2,78,0.4775211149,17.61307927,3.354132216,0.2325885476,1.018396418
1,10,2,79,0.4522482159,14.95089286,3.269293254,0.2301524683,0.8036678684
1,10,2,80,0.4472447867,12.59878983,3.350267911,0.2294187758,0.9682262273
1,10,2,81,0.4552401752,13.86010561,3.354655919,0.2405952027,0.9798877649
1,10,2,82,0.4456861455,15.26824663,3.193233526,0.226391364,0.8960355015
1,10,2,83,0.4814488584,17.27865674,3.4073974,0.2307463778,0.8584824619
1,10,2,84,0.4589043981,15.90976744,3.277830612,0.2333584173,0.9298805354
1,10,2,85,0.4647161078,15.78625758,3.3367526,0.2365688293,1.098547642
1,10,2,86,0.4379429628,14.39408394,3.170375026,0.2324375705,0.9217930094
1,10,2,87,0.4879653787,17.6687814,3.445146548,0.2421219427,1.052844265
1,10,2,88,0.4621187673,15.69460187,3.318286663,0.2288001466,0.9854470784
1,10,2,89,0.460002886,16.57585769,3.252033598,0.2330796256,0.8689113722
1,10,2,90,0.4931972637,20.28137348,3.352273223,0.2331412081,0.9730724436
1,10,2,91,0.4432054314,12.24341649,3.332951571,0.221399768,0.9680121774
1,10,2,92,0.4504973645,14.7898547,3.262162636,0.2334502374,1.020386708
1,10,2,93,0.4361368521,12.03166599,3.280678133,0.2276328846,0.913118765
1,10,2,94,0.4741937774,16.92034603,3.361296888,0.2322343131,1.009618484
1,10,2,95,0.4751577112,16.88657517,3.371781446,0.2361045868,0.9843891694
1,10,2,96,0.4427281238,14.75545264,3.194082437,0.2304692129,0.9156863322
1,10,2,97,0.4576845314,13.69871568,3.385301014,0.2301533631,0.9180110079
1,10,2,98,0.4456381999,12.53357046,3.339302525,0.2285265012,0.8536654779
1,10,2,99,0.4850946414,17.89776876,3.407042732,0.2352348901,0.9982786128
1,10,3,0,0.4720565335,14.69125894,3.461477072,0.1832010798,0.9022013068
1,10,3,1,0.4688015772,13.49106964,3.496478321,0.1811278695,1.145186459
1,10,3,2,0.4886856662,18.04718408,3.431357563,0.187949623,0.9508812107
1,10,3,3,0.4619053273,14.87605522,3.360216417,0.1866853273,0.8989004634
1,10,3,4,0.4564465534,12.70159933,3.42757616,0.187969635,1.030603097
1,10,3,5,0.4590232517,14.02137335,3.380064264,0.1831532708,0.9989195127
1,10,3,6,0.4771658789,17.13767421,3.376403221,0.1882168983,1.003512945
1,10,3,7,0.4599589788,14.45051618,3.365496014,0.1852981296,0.9604545857
1,10,3,8,0.4594136598,15.44747127,3.307179834,0.1810844531,1.051722328
1,10,3,9,0.4682558668,16.83158351,3.312610827,0.1862365102,0.9250644668
1,10,3,10,0.4627311112,12.48580175,3.495697764,0.1782499021,1.02285602
1,10,3,11,0.4778828027,14.77032163,3.509677995,0.1885005457,1.013177699
1,10,3,12,0.4644444261,16.08723741,3.318183545,0.1788106621,0.9236022055
1,10,3,13,0.4326317469,10.93753253,3.307746479,0.1838870677,0.9895066882
1,10,3,14,0.4708721816,15.92831178,3.384547217,0.1850284775,0.9825369748
1,10,3,15,0.467836057,13.53534434,3.485416781,0.1834336385,1.027676222
1,10,3,16,0.4527502019,12.23585758,3.419259447,0.1818126298,1.084978933
1,10,3,17,0.4599551708,14.03059772,3.387957373,0.1806862985,0.9801077798
1,10,3,18,0.4697179797,14.18540658,3.467529322,0.1815754326,0.9764674802
1,10,3,19,0.4533528332,13.95736924,3.332459289,0.186458009,1.094648504
1,10,3,20,0.4442739509,12.62208983,3.322282174,0.1843054022,1.016714162
